,model,alpha,length,loc_error,num_traj,eduN,UPV-MAT,FCI,UCL,Erasmus MC,Anomalous Unicorns,DecBayComp,NOA,QuBI,DeepSPT,WUST ML B,WUST ML A,BIT,TSA
245,sbm,0.25,410,10.0,17,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.7058823529411765,0.6470588235294118,0.29411764705882354,0.5882352941176471,0.7647058823529412,0.6470588235294118
246,sbm,0.45,410,1.0,13,0.8461538461538461,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.6923076923076923,0.5384615384615384,0.46153846153846156
247,sbm,0.45,410,2.0,31,0.9354838709677419,0.967741935483871,0.9354838709677419,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.8709677419354839,0.8709677419354839,0.8387096774193549,0.7741935483870968,0.6129032258064516,0.6774193548387096,0.5161290322580645,0.5483870967741935
248,sbm,0.45,410,10.0,23,1.0,1.0,1.0,1.0,1.0,0.8260869565217391,0.9130434782608695,0.9130434782608695,0.8695652173913043,0.6956521739130435,0.5217391304347826,0.5217391304347826,0.2608695652173913,0.6086956521739131
249,sbm,0.6500000000000001,410,1.0,19,0.6842105263157895,0.5789473684210527,0.631578947368421,0.631578947368421,0.631578947368421,0.6842105263157895,0.631578947368421,0.47368421052631576,0.631578947368421,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.05263157894736842
250,sbm,0.6500000000000001,410,2.0,14,0.7857142857142857,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.35714285714285715,0.5,0.42857142857142855,0.35714285714285715
251,sbm,0.6500000000000001,410,10.0,25,1.0,0.92,0.92,0.96,0.8000000000000002,0.72,0.8000000000000002,0.88,0.56,0.64,0.56,0.28,0.36,0.56
252,sbm,0.8500000000000001,410,1.0,21,0.6190476190476191,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.23809523809523808,0.47619047619047616,0.5238095238095238,0.3333333333333333
253,sbm,0.8500000000000001,410,2.0,21,0.9523809523809523,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.9047619047619048,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.6666666666666666,0.7142857142857143,0.38095238095238093,0.5238095238095238,0.19047619047619047,0.38095238095238093
254,sbm,0.8500000000000001,410,10.0,25,0.88,0.72,0.8000000000000002,0.8399999999999999,0.76,0.76,0.76,0.76,0.6,0.68,0.68,0.4000000000000001,0.24,0.76
255,sbm,1.05,410,1.0,8,1.0,0.875,0.875,1.0,1.0,0.75,0.75,0.625,0.875,0.75,0.375,0.375,0.125,0.75
256,sbm,1.05,410,2.0,10,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.8000000000000002,0.9,0.9,0.9,0.9,0.9,0.8000000000000002
257,sbm,1.05,410,10.0,12,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.75,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.8333333333333334
258,sbm,1.2500000000000002,410,1.0,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9166666666666666,0.4166666666666667,0.25,0.5,0.3333333333333333
259,sbm,1.2500000000000002,410,2.0,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.6111111111111112,0.5555555555555556,0.7777777777777778,0.6666666666666666
260,sbm,1.2500000000000002,410,10.0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666
