,model,alpha,length,loc_error,num_traj,UCL,eduN,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT
1077,sbm,1.4500000000000002,710,7.33,5,1.0,1.0,1.0,1.0,0.8000000000000002,0.8000000000000002,1.0
1078,sbm,1.6500000000000001,710,2.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.0
1079,sbm,1.6500000000000001,710,4.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1080,sbm,1.6500000000000001,710,4.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1081,sbm,1.6500000000000001,710,7.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1082,sbm,1.6500000000000001,710,7.33,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1083,sbm,1.6500000000000001,710,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1084,sbm,1.85,710,1.33,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1085,sbm,1.85,710,1.67,3,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
1086,sbm,1.85,710,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1087,sbm,1.85,710,4.0,3,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
1088,sbm,1.85,710,4.33,5,1.0,1.0,1.0,1.0,1.0,0.8000000000000002,1.0
1089,sbm,1.85,710,7.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1090,sbm,1.85,710,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1091,sbm,0.05,760,1.33,3,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666
1092,sbm,0.05,760,1.67,4,1.0,1.0,1.0,1.0,1.0,0.75,0.25
1093,sbm,0.05,760,4.0,2,1.0,1.0,1.0,0.5,1.0,0.5,0.5
1094,sbm,0.05,760,4.33,3,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
1095,sbm,0.05,760,4.67,4,1.0,1.0,1.0,0.5,1.0,0.5,0.25
1096,sbm,0.05,760,7.0,5,1.0,1.0,0.8000000000000002,0.6,1.0,0.6,0.4000000000000001
